ID,Titre,Auteur,Éditeur,Année,Type,Genre,Note,À vérifier,Photos,Résumé
63,Le voleur de nostalgie,Herve Le Tellier,Seuil,,Roman,Littérature française,,,IMG-20260529-WA0023.jpg / PXL_20260522_080839965.jpg,"Premier roman policier d'Hervé Le Tellier (prix Goncourt 2020 pour 'L'Anomalie'), paru au Seuil. Ce court récit, teinté d'humour et de jeux littéraires propres à l'Oulipo dont l'auteur est membre, se présente comme une enquête où un personnage cherche à percer un mystère lié au passé et à la mémoire. Le ton oscille entre le pastiche du genre et la fantaisie érudite."
64,Les Chouans,Honore de Balzac,Le Livre de Poche,1834,Roman,Littérature française,,,IMG-20260529-WA0021.jpg / PXL_20260522_080911830.jpg,"Premier roman publié sous son nom par Honoré de Balzac, intégré à 'La Comédie humaine'. L'action se déroule en Bretagne en 1799, durant la révolte royaliste des Chouans contre la République. Sur fond de guerre civile, Balzac mêle fresque historique et intrigue amoureuse tragique entre Marie de Verneuil, envoyée par les Bleus républicains, et le marquis de Montauran, chef des insurgés. Un récit où l'Histoire, la passion et la trahison se nouent."
65,Human Rights Watch World Report 2008,Human Rights Watch,Human Rights Watch / Seven Stories Press,2008,Document,Politique / Société,,,PXL_20260522_080951230.jpg,"Rapport annuel 2008 de l'organisation Human Rights Watch, publié avec Seven Stories Press. L'ouvrage dresse un état des lieux mondial de la situation des droits humains, pays par pays, documentant abus, conflits et violations sur l'année écoulée. Outil de référence pour les chercheurs, militants et journalistes."
60,Les amies d'Héloïse,Hélène de Monferrand,,,Roman,Littérature française,,,IMG-20260529-WA0018.jpg / PXL_20260522_080943546.jpg,"Roman d'Hélène de Monferrand poursuivant l'univers des « Amies d'Héloïse », saga épistolaire sur des amours et amitiés féminines. À travers lettres et journaux, l'auteure dépeint des destins de femmes et leurs liens passionnés à travers le temps. Œuvre récompensée par le prix Goncourt du premier roman pour le volet initial."
66,"Le Nabab, Tome 2",Irène Frain,Le Livre de Poche,,Roman,Littérature française,,,IMG-20260529-WA0019.jpg / PXL_20260522_080923036.jpg,"Second tome du roman d'Irène Frain consacré au 'Nabab', vaste saga historique inspirée de la vie d'un aventurier breton parti faire fortune aux Indes au XVIIIe siècle. Fresque romanesque dépaysante mêlant ascension sociale, exotisme et destin hors du commun."
67,Méditation locale,Isabelle Raibaut,,,Spiritualité,Développement personnel,,oui,IMG-20260529-WA0026.jpg,Ouvrage attribué à Isabelle Raibaut dont le titre évoque la méditation. Information bibliographique insuffisante pour décrire précisément le contenu ; il s'agirait d'un texte sur la pratique méditative.
68,Mediation taoiste,Isabelle Robinet,,,Essai,Religions / Sagesses orientales,,,PXL_20260522_080837282.jpg,"Isabelle Robinet (1932-2000) était une grande spécialiste française du taoisme. Cet ouvrage (titre vraisemblablement 'Méditation taoiste') présente les techniques contemplatives et spirituelles de la tradition taoiste, leurs fondements, leurs symboles et leur visée d'union au Tao. Une étude savante mais accessible sur la mystique chinoise."
181,Terres inconnues,J. M. G. Le Clézio,Saint-André-des-Arts,1978,Beau livre / Photographie,Voyage / Asie,5.0,oui,IMG-20260529-WA0013.jpg / PXL_20260522_080954822.jpg,Ouvrage publié par les éditions Saint-André-des-Arts dans la veine de la découverte de territoires lointains. Le titre « Terres inconnues » évoque l'exploration de contrées peu connues ; le contenu précis reste incertain.
69,Mieux gouverner l'entreprise,Jacques Benoit,,,Essai,Économie,,oui,IMG-20260529-WA0021.jpg / PXL_20260522_080911830.jpg,"Ouvrage de Jacques Benoit portant, d'après son titre, sur la gouvernance d'entreprise et l'amélioration de sa direction. Les données disponibles ne permettent pas de préciser davantage le contenu."
70,Pedagogie de l'ethique,Jacques Benoit,,,Essai,Philosophie,,oui,IMG-20260529-WA0021.jpg / PXL_20260522_080911830.jpg,"Ouvrage de Jacques Benoit consacré, d'après son titre, à une pédagogie de l'éthique, c'est-à-dire à la manière d'enseigner et de transmettre les questions morales. Les informations disponibles ne permettent pas d'en détailler le contenu."
71,Caravans,James A. Michener,Bantam,1963,Roman,Fiction étrangère,3.0,,IMG-20260529-WA0021.jpg / PXL_20260522_080911830.jpg,"Roman de l'Américain James A. Michener publié en 1963. Situé en Afghanistan au lendemain de la Seconde Guerre mondiale, il suit un jeune diplomate américain chargé de retrouver Ellen Jasper, une compatriote ayant épousé un Afghan et disparu dans le pays. À travers ce périple, Michener brosse un portrait riche du désert, des caravanes nomades et d'une société tiraillée entre tradition et modernité."
170,Lieux sacrés du monde,James Harpur,Saint-André-des-Arts,1995,Beau livre / Photographie,Religions / Sagesses orientales,,,IMG-20260529-WA0013.jpg / PXL_20260522_080954822.jpg,"Ouvrage illustré présentant les lieux sacrés du monde. À la manière d'une encyclopédie visuelle, il décrit temples, sanctuaires et sites de pèlerinage des grandes traditions spirituelles, accompagnés de photographies et de notices."
72,Kosova Express,James Pettifer,Hurst,2005,Document,Géopolitique / Moyen-Orient,,,IMG-20260529-WA0018.jpg / PXL_20260522_080943546.jpg,"Récit-reportage de James Pettifer, journaliste et spécialiste des Balkans, consacré au Kosovo et à la guerre de 1998-1999. Mêlant témoignage de terrain et analyse, l'ouvrage retrace les tensions ethniques entre Albanais et Serbes, le rôle des médias et le mouvement d'indépendance kosovar. Un éclairage de première main sur un conflit majeur des Balkans."
152,Du fer dans les epinards,Jean-François Bouvet,Points,1997,Essai,Politique / Société,,,IMG-20260529-WA0025.jpg / PXL_20260522_080833969.jpg,"Ouvrage consacré aux idées reçues, croyances populaires et erreurs scientifiques, comme le mythe du fer dans les épinards. Mêlant curiosité et esprit critique, il démonte avec humour de nombreuses superstitions et préjugés répandus, en rétablissant les faits. Un livre de vulgarisation invitant à questionner les certitudes héritées."
73,Tadjoura,Jean-François Deniau,Le Livre de Poche / Flammarion,1999,Roman,Littérature française,,,IMG-20260529-WA0019.jpg / PXL_20260522_080923036.jpg,"Roman de Jean-François Deniau, diplomate, navigateur et académicien français. 'Tadjoura', du nom du port de Djibouti, est un récit d'aventure et d'exotisme situé dans la Corne de l'Afrique, où se mêlent intrigue, dépaysement et réflexion sur l'engagement et le courage, thèmes chers à l'auteur."
74,Pour chasser ki vieille lire,Jean-Louis Bardelin,,,Roman,Littérature française,,oui,PXL_20260522_080943546.jpg,"Ouvrage de Jean-Louis Bardelin dont le titre, vraisemblablement altéré par l'OCR ('Pour chasser la vieille lire'?), ne permet pas une identification fiable. Description précise impossible en l'état des informations disponibles."
75,Aurore,Jean-Paul Enthoven,Grasset,2000,Roman,Littérature française,,,IMG-20260529-WA0017.jpg / PXL_20260522_080934604.jpg,"Roman de Jean-Paul Enthoven, écrivain et éditeur, publié chez Grasset. 'Aurore' déploie une intrigue sentimentale sur les relations amoureuses entre un homme et une femme, dans un style élégant et mélancolique caractéristique de l'auteur."
76,L'Âge de raison,Jean-Paul Sartre,Folio (Gallimard),1945,Roman,Littérature française,,,IMG-20260529-WA0015.jpg / PXL_20260522_080923036.jpg,"Premier volume de la trilogie 'Les Chemins de la liberté' de Jean-Paul Sartre, paru en 1945. Sur deux jours à Paris en 1938, Mathieu, professeur de philosophie, cherche de l'argent pour faire avorter sa maîtresse Marcelle, tout en interrogeant sa propre liberté. Un roman existentialiste où la quête d'indépendance se heurte aux responsabilités et au poids des choix."
77,La Nausée,Jean-Paul Sartre,Folio (Gallimard),1938,Roman,Littérature française,4.0,,IMG-20260529-WA0015.jpg / PXL_20260522_080923036.jpg,"Premier roman de Jean-Paul Sartre (1938), œuvre majeure de l'existentialisme. Sous forme de journal, Antoine Roquentin, à Bouville, éprouve la 'nausée', sentiment d'absurdité et de contingence de l'existence face à la matière brute du monde. Une méditation romanesque fondatrice sur la liberté, la conscience et le néant."
78,Les Mots,Jean-Paul Sartre,Folio (Gallimard),2004,Autobiographie,Littérature française,,,IMG-20260529-WA0015.jpg / PXL_20260522_080923036.jpg,"Récit autobiographique de Jean-Paul Sartre publié en 1964, l'année où il refusa le prix Nobel. L'auteur y évoque son enfance, sa découverte de la lecture ('Lire') et de l'écriture ('Écrire'), et le rôle des mots dans la construction de sa vocation. Un texte d'une grande lucidité, à la fois tendre et ironique envers le jeune prodige qu'il fut."
79,Habiter (Photographies et textes de Jean-Paul Toujas),Jean-Paul Toujas,Loire Sauvage / Une édition du journal de la Loire,2016,Beau livre / Photographie,Art,4.0,oui,PXL_20260522_080954822.jpg,"Ouvrage associant photographies et textes de Jean-Paul Toujas, publié par une édition liée à la Loire. Le titre 'Habiter' suggère une réflexion poétique et visuelle sur le lieu, le paysage et la manière d'occuper l'espace. Les sujets référencés semblent erronés ; description fondée sur le titre."
80,Garfield Star Struck (Super Fat Cat Book),Jim Davis,Ravette,,BD / Roman graphique,Humour,,,IMG-20260529-WA0022.jpg / PXL_20260522_080858839.jpg,"Album de bandes dessinées de la série 'Garfield' créée par Jim Davis, mettant en scène le célèbre chat paresseux, gourmand et cynique. Recueil de strips humoristiques (édition Ravette) autour du quotidien de Garfield, de son maître Jon et du chien Odie."
82,"Muslims and the State in Britain, France, and Germany",Joel S. Fetzer & J. Christopher Soper,Cambridge University Press,2004,Essai,Politique / Société,,,IMG-20260529-WA0012.jpg / IMG-20260529-WA0018.jpg / PXL_20260522_080939460.jpg,"Étude de science politique de Joel S. Fetzer et J. Christopher Soper publiée chez Cambridge University Press. Les auteurs comparent les politiques de la Grande-Bretagne, de la France et de l'Allemagne à l'égard de leurs populations musulmanes, analysant l'intégration religieuse, les droits et les relations entre l'islam et l'État dans ces trois pays."
83,Answering Your Call,John P. Schuster,Berrett-Koehler,2003,Manuel / Guide pratique,Développement personnel,,,IMG-20260529-WA0014.jpg / PXL_20260522_080951230.jpg,"Ouvrage de John P. Schuster (Berrett-Koehler) consacré à la notion de 'vocation' et d'appel intérieur. Mêlant développement personnel et réflexion éthique, il invite le lecteur à discerner sa raison d'être et à donner un sens à sa vie professionnelle et personnelle."
84,Peuples d'en haut,John Vink,Autrement,,Beau livre / Photographie,Voyage / Asie,,oui,IMG-20260529-WA0012.jpg / PXL_20260522_080939460.jpg,"Ouvrage de John Vink, photographe documentaire belge de l'agence Magnum, publié par Autrement. 'Peuples d'en haut' rassemble vraisemblablement un reportage photographique consacré à des communautés vivant en altitude. Description fondée sur le titre et le profil de l'auteur."
81,L'Homme symbiotique,Joël de Rosnay,Points (Seuil),1995,Essai,Écologie / Développement durable,,,IMG-20260529-WA0019.jpg / PXL_20260522_080923036.jpg,"Essai prospectif de Joël de Rosnay, biologiste et futurologue, paru en 1995. L'auteur y développe l'idée d'un 'homme symbiotique' relié à un 'cerveau planétaire' né de la fusion entre l'humanité, les machines et les réseaux numériques. Une réflexion visionnaire sur l'écologie globale, les technologies de l'information et l'avenir de la société au XXIe siècle."
85,Japanese novel - Keigo Higashino,Keigo Higashino (東野圭吾),Gentosha Bunko (幻冬舎文庫),,Roman,Policier / Thriller,,oui,PXL_20260522_080858839.jpg,"Roman en japonais de Keigo Higashino (édition de poche Gentosha Bunko), maître contemporain du polar japonais connu pour ses intrigues psychologiques et ses énigmes ingénieuses. Le titre exact n'étant pas précisé, l'identification de l'œuvre demeure incertaine, mais elle relève très probablement du roman policier ou à suspense."
86,Tao Te King (Lao-Tseu),Lao-Tseu,"Lulu Press, Inc.",2011,Spiritualité,Religions / Sagesses orientales,,,IMG-20260529-WA0026.jpg / PXL_20260522_080837282.jpg,"Texte fondateur du taoisme attribué à Lao-Tseu (Laozi), composé d'environ quatre-vingt-un courts chapitres. Le 'Tao Te King' (Daodejing) expose la voie (Tao) et la vertu (Te), prônant le non-agir, la simplicité et l'harmonie avec l'ordre naturel. Œuvre majeure de la sagesse chinoise, maintes fois traduite et commentée."
171,Loire sauvage,Laurence Lager-Barruel,L. Lager-Barruel,2009,Beau livre / Photographie,Nature,,oui,IMG-20260529-WA0013.jpg,"Ouvrage consacré à la Loire sauvage, dernier grand fleuve européen relativement préservé. Il met en valeur, par le texte et l'image, les paysages, la faune et la flore de ce milieu naturel et la richesse de son écosystème."
87,Le vrai classique du vide parfait,Lie-Tseu (Liezi),"Gallimard (nrf, Connaissance de l'Orient)",,Spiritualité,Religions / Sagesses orientales,,,IMG-20260529-WA0019.jpg / PXL_20260522_080923036.jpg,"Œuvre classique du taoisme attribuée à Lie-Tseu (Liezi), publiée chez Gallimard dans la collection 'Connaissance de l'Orient'. Recueil d'anecdotes, de paraboles et de récits illustrant le principe du vide, la spontanéité et le détachement taoistes. Un texte enjoué et profond, complément du Tao Te King et du Tchouang-Tseu."
88,L'Ancêtre disparue,Loris Misael,Flammarion,,Roman,Littérature française,,oui,IMG-20260529-WA0019.jpg / PXL_20260522_080923036.jpg,"Roman de Loris Misael publié chez Flammarion. Le titre 'L'Ancêtre disparue' évoque une intrigue mêlant quête des origines et mystère familial, mais les informations disponibles ne permettent pas d'en préciser le contenu."
89,La Compagnie des spectres,Lydie Salvayre,Editions du Seuil,1997,Roman,Littérature française,,,IMG-20260529-WA0018.jpg / PXL_20260522_080943546.jpg,"Roman de Lydie Salvayre récompensé par le prix Novembre 1997. Dans un appartement de banlieue, deux femmes, mère et fille, vivent recluses, hantées par le souvenir de la milice et des heures sombres de l'Occupation. Un huis clos tragi-comique, à la langue truculente et virulente, sur la mémoire, la peur et la transmission de la violence historique."
90,Simone de Beauvoir,M. Stjepanovic-Pauly,Éditions du Jasmin,1990,Biographie,Littérature française,,,IMG-20260529-WA0015.jpg / IMG-20260529-WA0023.jpg / PXL_20260522_080839965.jpg,"Biographie consacrée à Simone de Beauvoir (1908-1986), écrivaine, philosophe et figure majeure du féminisme, publiée aux Éditions du Jasmin. L'ouvrage retrace la vie et l'œuvre de l'auteure du 'Deuxième Sexe', son parcours intellectuel et son engagement."
91,La photographie,Marc Bidermost,Guides Larousse,,Manuel / Guide pratique,Art,,,IMG-20260529-WA0017.jpg / PXL_20260522_080934604.jpg,"Guide pratique de la collection Larousse consacré à la photographie. L'ouvrage présente les techniques de prise de vue, le matériel, le cadrage et les principes essentiels pour s'initier ou se perfectionner dans l'art photographique."
92,Et si c'etait vrai...,Marc Levy,Pocket,,Roman,Littérature française,,,IMG-20260529-WA0022.jpg / PXL_20260522_080858839.jpg,"Premier roman de Marc Levy (2000), grand succès de librairie adapté au cinéma sous le titre 'Just Like Heaven'. À San Francisco, Arthur découvre dans son nouvel appartement une jeune femme, Lauren, qui s'avère être l'esprit d'une patiente plongée dans le coma. Une comédie romantique et fantastique, légère et émouvante, sur l'amour par-delà les frontières du réel."
93,Un café pour Socrate,Marc Sautet,Robert Laffont,,Essai,Philosophie,,,IMG-20260529-WA0012.jpg / IMG-20260529-WA0018.jpg / PXL_20260522_080939460.jpg,"Essai de Marc Sautet, philosophe à l'origine des 'cafés philosophiques'. L'ouvrage retrace son expérience des débats philosophiques ouverts à tous, dans la lignée de Socrate, et plaide pour une philosophie vivante, dialoguée et ancrée dans le quotidien des citoyens."
94,Le temps retrouve,Marcel Proust,Folio,1913,Roman,Littérature française,,,IMG-20260529-WA0023.jpg / PXL_20260522_080839965.jpg,"Septième et dernier tome d'À la recherche du temps perdu de Marcel Proust, publié à titre posthume en 1927. Le narrateur, après des années d'absence, retrouve un monde transformé par la guerre et le temps. Lors d'une matinée chez les Guermantes, une série de réminiscences involontaires lui révèle le sens de sa vocation : faire de son passé retrouvé la matière d'une œuvre d'art. Méditation sur le temps, la mémoire et la création littéraire, ce volume couronne l'édifice romanesque proustien."
96,Les philosophies modernes,Martine Flament / Philippe Jeannot / Brigitte ...,,,Essai,Philosophie,,oui,IMG-20260529-WA0026.jpg,"Ouvrage de présentation des philosophies modernes. Les données d'auteur fournies semblent erronées (reprises de la notice précédente). Vraisemblablement un manuel ou une introduction synthétique aux grands courants de la pensée philosophique moderne, mais le contenu précis et l'auteur réel ne peuvent être confirmés à partir des informations disponibles."
95,La boulimie,"Martine Flament, Philippe Jeammet (Brigitte Mace)",Medecine et psychotherapie / Masson,1998,Essai,Psychologie,,,IMG-20260529-WA0026.jpg / PXL_20260522_080837282.jpg,"Ouvrage de psychiatrie et de psychothérapie consacré à la boulimie, signé par Martine Flament et Philippe Jeammet, spécialistes des troubles du comportement alimentaire. Le livre décrit les manifestations cliniques de ce trouble, ses mécanismes psychologiques et ses dimensions affectives, ainsi que les approches thérapeutiques disponibles. Destiné aux soignants comme aux personnes concernées, il propose une compréhension des causes et des traitements de cette pathologie."
97,Palestine/Israel: Peace or Apartheid,Marwan Bishara,Zed Books,,Essai,Géopolitique / Moyen-Orient,,,IMG-20260529-WA0018.jpg / PXL_20260522_080943546.jpg,"Essai géopolitique de Marwan Bishara, analyste palestino-israélien, sur le conflit israélo-palestinien. L'auteur examine l'impasse du processus de paix et alerte sur la dérive vers un régime de séparation et de domination qu'il qualifie d'apartheid. Il plaide pour une solution juste fondée sur l'égalité des droits entre les deux peuples. Une réflexion critique sur l'occupation, les colonies et l'avenir politique de la région."
98,La comtesse de Cagliostro,Maurice Leblanc,Le Livre de Poche,2018,Roman,Policier / Thriller,,,IMG-20260529-WA0021.jpg / PXL_20260522_080911830.jpg,"Roman d'aventures de Maurice Leblanc mettant en scène le célèbre gentleman-cambrioleur Arsène Lupin. Dans ce récit, le jeune Lupin affronte Joséphine Balsamo, dite la comtesse de Cagliostro, femme fatale et criminelle qui prétend avoir traversé les siècles. Entre passion amoureuse et rivalité mortelle, ils se lancent à la recherche d'un fabuleux trésor. Un roman fondateur qui raconte les premières amours et les débuts de la carrière du héros."
99,La Demoiselle aux yeux verts,Maurice Leblanc,Le Livre de Poche,2020,Roman,Policier / Thriller,,,IMG-20260529-WA0021.jpg / PXL_20260522_080911830.jpg,"Roman d'aventures policières de Maurice Leblanc avec Arsène Lupin. Le gentleman-cambrioleur s'éprend d'une mystérieuse jeune femme aux yeux verts, soupçonnée d'un meurtre commis dans un train. Pour la disculper et percer le secret qui l'entoure, Lupin déploie son ingéniosité au fil d'une intrigue pleine de rebondissements, mêlant énigme criminelle et romance. Un classique du roman d'aventures français."
100,Le Bouchon de cristal,Maurice Leblanc,Le Livre de Poche,1912,Roman,Policier / Thriller,,,IMG-20260529-WA0025.jpg / PXL_20260522_080833969.jpg,"Roman policier de Maurice Leblanc mettant en scène Arsène Lupin. Un mystérieux bouchon de cristal, objet en apparence anodin, devient l'enjeu d'une lutte acharnée car il recèle un document compromettant. Lupin se trouve mêlé à une sombre affaire politique et criminelle où il doit déjouer les pièges de redoutables adversaires pour sauver des innocents. Intrigue ingénieuse et rebondissements caractérisent ce classique de la littérature d'aventures."
101,The Lost World,Michael Crichton,Arrow,,Roman,Science-fiction,,,IMG-20260529-WA0021.jpg / PXL_20260522_080911830.jpg,"Roman de science-fiction de Michael Crichton, suite de Jurassic Park (1995). Une expédition se rend sur une île secrète où des dinosaures clonés ont survécu et se reproduisent à l'état sauvage. Le mathématicien Ian Malcolm et une équipe de scientifiques s'y retrouvent confrontés à la lutte pour leur survie. Thriller scientifique haletant qui interroge l'évolution, l'extinction et les dangers de la manipulation génétique."
103,Un taxi mauve,Michel Deon,Folio,1973,Roman,Littérature française,,,IMG-20260529-WA0025.jpg / PXL_20260522_080833969.jpg,"Roman de Michel Déon paru en 1973, adapté au cinéma. Dans la campagne irlandaise, un homme solitaire observe les destins croisés d'expatriés venus chercher refuge ou oubli. L'arrivée énigmatique d'un taxi mauve cristallise les secrets et les blessures de ces personnages en quête de paix. Récit empreint de mélancolie et de poésie, célébrant les paysages d'Irlande et les âmes en exil."
102,Les poneys sauvages,Michel Déon,Gallimard (Folio),1970,Roman,Littérature française,,,IMG-20260529-WA0025.jpg / PXL_20260522_080833969.jpg,"Roman de Michel Déon paru en 1970, l'une de ses œuvres majeures. Vaste fresque qui suit des personnages à travers les bouleversements du XXe siècle, de la jeunesse aux désillusions de l'âge mûr. Sur fond d'amitiés, d'amours et d'errances entre plusieurs pays, le livre déploie une méditation nostalgique et élégante sur le temps, la fidélité et la liberté. Une œuvre représentative de l'écriture raffinée de l'auteur."
104,Tout le monde peut jouer au bridge,Michel Lebel,Le Livre de Poche,1977,Manuel / Guide pratique,Jeux / Loisirs,,,IMG-20260529-WA0017.jpg / PXL_20260522_080934604.jpg,"Manuel d'initiation au bridge signé Michel Lebel, joueur et pédagogue reconnu. L'ouvrage présente de façon accessible les règles, les enchères et les techniques de jeu de la carte pour permettre aux débutants d'apprendre et de progresser. Conçu comme une méthode pratique, il rend ce jeu de cartes populaire abordable à tous."
105,Tropismes,Nathalie Sarraute,Minuit,1963,Nouvelles,Littérature française,,,IMG-20260529-WA0025.jpg / PXL_20260522_080833969.jpg,"Premier livre de Nathalie Sarraute, publié en 1939, recueil de courts textes en prose. L'auteure y capte les « tropismes », ces mouvements intérieurs imperceptibles, impulsions et réactions infimes qui agitent les êtres en deçà de la parole et des conventions sociales. Texte fondateur du Nouveau Roman, d'une écriture minutieuse et novatrice, qui explore la vie psychique souterraine des individus dans le quotidien le plus banal."
172,More is less,Neil Fitzgerald,,,Essai,Développement personnel,,oui,PXL_20260522_080837282.jpg,"Ouvrage dont le titre « More is less » suggère une réflexion sur la sobriété, la simplicité volontaire ou les limites de la surabondance. Faute d'informations précises, le contenu exact reste incertain."
106,Des fantômes et des hommes,Nguyen Khac Truong,Éditions de l'Aube,,Roman,Fiction étrangère,,,IMG-20260529-WA0024.jpg / PXL_20260522_080925838.jpg,"Roman de l'écrivain vietnamien Nguyên Khac Truong, publié aux Éditions de l'Aube. Satire de la vie rurale dans un village du Nord-Vietnam, le récit dépeint les rivalités entre clans familiaux, les superstitions et les pesanteurs sociales de la société villageoise contemporaine. Mêlant réalisme et fantastique, l'œuvre offre un tableau critique et savoureux du Vietnam de l'après-guerre."
107,The Importance of Being Eton,Nick Fraser,Short Books Ltd,2012,Document,Politique / Société,,oui,PXL_20260522_080947466.jpg,"Ouvrage de Nick Fraser consacré au collège d'Eton, prestigieuse institution scolaire britannique. À travers l'histoire et le fonctionnement de cette école qui a formé une grande partie de l'élite dirigeante du Royaume-Uni, l'auteur examine les mécanismes de reproduction sociale, le privilège et la persistance des hiérarchies de classe dans la société anglaise. Une enquête sur le pouvoir et l'éducation des élites."
108,Guide de la joie permanente,P. Kerforne et M.-L. Questin,Pocket,1999,Manuel / Guide pratique,Développement personnel,,oui,PXL_20260522_080911830.jpg,"Guide pratique de développement personnel signé P. Kerforne et M.-L. Questin, proposant des conseils et des méthodes pour cultiver un état durable de joie et de bien-être. Le contenu précis n'étant pas documenté, il s'agit vraisemblablement d'un ouvrage de croissance personnelle mêlant réflexions et exercices pour accéder à un bonheur permanent."
109,Thailand's Boom!,Pasuk Phongpaichit and Chris Baker,,2008,Essai,Économie,,,IMG-20260529-WA0014.jpg / IMG-20260529-WA0020.jpg / PXL_20260522_080947466.jpg / PXL_20260522_080951230.jpg,"Essai économique de Pasuk Phongpaichit et Chris Baker analysant l'essor économique de la Thaïlande. Les auteurs examinent les facteurs du boom industriel et financier du pays, ses transformations sociales, ses inégalités et ses fragilités, dans le contexte de la croissance rapide de l'Asie du Sud-Est. Une référence sur le développement économique thaïlandais et ses contradictions."
110,Capitale de la douleur,Paul Eluard,Gallimard (nrf / Poesie),1926,Poésie,Littérature française,,,IMG-20260529-WA0023.jpg / PXL_20260522_080833969.jpg,"Recueil poétique de Paul Éluard publié en 1926, œuvre majeure du surréalisme. Né de la douleur amoureuse liée au départ de Gala, le livre mêle poèmes en prose et en vers où l'amour, la souffrance et le rêve se transfigurent par les images surréalistes. Éluard y déploie une langue lumineuse célébrant la femme et le pouvoir de la poésie. Un sommet du lyrisme moderne français."
111,"Sagesse, Amour, Bonheur",Paul Verlaine,Gallimard (nrf),1975,Poésie,Littérature française,4.0,,IMG-20260529-WA0023.jpg / IMG-20260529-WA0026.jpg / PXL_20260522_080839965.jpg,"Recueil rassemblant trois œuvres de Paul Verlaine — Sagesse, Amour et Bonheur —, marquées par la conversion religieuse du poète et sa quête spirituelle. Après les tourments de sa vie, Verlaine y exprime le repentir, la foi retrouvée et l'aspiration à la paix intérieure, dans une musicalité délicate caractéristique de son art. Une poésie intime où se mêlent ferveur, mélancolie et grâce."
112,Sustainable Development Indicators in Ecological Economics,Philip Lawn (Philip A. Lawn),Edward Elgar (EE),2006,Essai,Écologie / Développement durable,,,IMG-20260529-WA0013.jpg / PXL_20260522_080951230.jpg / PXL_20260522_080954822.jpg,"Ouvrage universitaire de l'économiste Philip A. Lawn consacré aux indicateurs de développement durable dans le champ de l'économie écologique. L'auteur examine les outils de mesure du bien-être et de la soutenabilité, au-delà du PIB, et propose des cadres permettant d'évaluer le progrès en intégrant les contraintes environnementales. Une contribution technique au débat sur la croissance soutenable et la valorisation du capital naturel."
113,I Married a Communist,Philip Roth,Vintage,,Roman,Fiction étrangère,,,IMG-20260529-WA0021.jpg / PXL_20260522_080911830.jpg,"Roman de Philip Roth paru en 1998, deuxième volet de sa trilogie américaine. Nathan Zuckerman recueille le récit de la vie de Ira Ringold, alias Iron Rinn, héros radiophonique et militant communiste dont la carrière est brisée durant le maccarthysme. Sur fond d'Amérique des années 1950, le roman explore la trahison conjugale et politique, l'idéalisme et la chasse aux sorcières. Une fresque puissante sur l'engagement et la désillusion."
114,La Première Gorgée de bière et autres plaisirs minuscules,Philippe Delerm,L'Arpenteur (Gallimard),1997,Nouvelles,Littérature française,4.0,,IMG-20260529-WA0015.jpg / PXL_20260522_080923036.jpg,"Recueil de courts textes de Philippe Delerm, paru en 1997, immense succès de librairie. L'auteur y célèbre les petits plaisirs minuscules du quotidien — la première gorgée de bière, l'odeur des pommes, la lecture sur la plage — saisis dans une prose délicate et sensorielle. Éloge de l'instant et des bonheurs simples, ce livre invite à savourer la beauté discrète des choses ordinaires."
115,Vers chez les blancs,Philippe Djian,Folio,2000,Roman,Littérature française,4.0,,IMG-20260529-WA0025.jpg / PXL_20260522_080833969.jpg,"Recueil de nouvelles de Philippe Djian publié en 2000. L'auteur de 37°2 le matin y déploie son écriture nerveuse et désenchantée à travers des récits peuplés de personnages en marge, traversés par le désir, la violence et le mal-être. Sur un ton cru et corrosif, ces textes explorent les rapports humains et les failles de l'Amérique ordinaire comme de la vie contemporaine."
116,LIFE Strategies,"Phillip C. McGraw, Ph.D.",Hyperion,1998,Manuel / Guide pratique,Développement personnel,,,IMG-20260529-WA0022.jpg / PXL_20260522_080858839.jpg,"Ouvrage de développement personnel du psychologue américain Phillip C. McGraw (« Dr Phil »), best-seller publié en 1999. L'auteur propose dix « lois de la vie », stratégies concrètes pour reprendre le contrôle de son existence, dépasser ses échecs et obtenir ce que l'on veut. Mêlant psychologie pratique et coaching, le livre invite le lecteur à affronter la réalité avec lucidité et responsabilité."
166,Les massages,Pierre Ives,Québécor,1982,Manuel / Guide pratique,Psychologie,,oui,PXL_20260522_080947466.jpg,"Guide pratique consacré aux massages. Selon les sujets associés, l'ouvrage aborde les techniques de massage dans une dimension de bien-être, de détente et de sensualité au sein du couple."
117,Le Match,Pierre-Jean Rémy,E.J. Arnold,1973,Roman,Littérature française,,oui,PXL_20260522_080934604.jpg,"Œuvre de Pierre-Jean Rémy, écrivain et académicien français, intitulée Le Match. Les notices disponibles l'associant à des lectures en français langue étrangère, le contenu exact reste incertain : il s'agit vraisemblablement d'un roman ou récit, peut-être dans une édition simplifiée pour apprenants. Le sujet précis ne peut être confirmé à partir des informations fournies."
118,Mange... ou je te tue / M'as-tu vu ?,Raphaele Billetdoux,Le Livre de Poche,,Roman,Littérature française,,oui,PXL_20260522_080911830.jpg,"Volume réunissant deux romans de Raphaële Billetdoux, écrivaine française. « Mange... ou je te tue » et « M'as-tu vu ? » explorent, dans une langue sensible et singulière, les tourments intimes, les relations affectives et les désirs de personnages en quête d'identité. L'auteure, connue pour Mes nuits sont plus belles que vos jours, y déploie son univers introspectif et émotionnel."
